mac_address,vendor,time,LAT,LON,
da:a1:19:a3:fb:98,Google, Inc,1551163679000,46.49150896536376,24.575791636761615,
da:a1:19:20:5b:81,Google, Inc,1551161948000,46.4860044327735,24.571655560056683,
da:a1:19:0b:9a:4b,Google, Inc,1551164909000,46.50077410658453,24.581862097063528,
da:a1:19:d7:d4:f3,Google, Inc,1551168408000,46.43020541904174,24.529857310465285,
da:a1:19:20:b1:15,Google, Inc,1551168406000,46.445177207371835,24.540503041935057,
da:a1:19:04:b6:df,Google, Inc,1551168403000,46.38008783388284,24.492645346646864,
