"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type","New Column"
"1370","15:05:15.944458","b0:48:7a:e7:fe:3e","a8:b8:6e:43:7d:f7","802.11","-73 dBm","0.001875","Probe Response","","","","Emikroszkop","1","","",""
"1371","15:05:15.949563","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.005105","Probe Response","","","","Pince2","1","","",""
"1372","15:05:16.025313","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-89 dBm","0.075750","Probe Response","","","","Pince2","1","","",""
"1373","15:05:16.028109","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-89 dBm","0.002796","Probe Response","","","","Pince2","1","","",""
"1374","15:05:16.110084","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-89 dBm","0.081975","Probe Response","","","","Pince2","1","","",""
"1375","15:05:16.111390","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-91 dBm","0.001306","Probe Response","","","","Pince2","1","","",""
"1376","15:05:16.112741","18:a6:f7:c5:62:80","a8:b8:6e:43:7d:f7","802.11","-93 dBm","0.001351","Probe Response","","","","Pince2","1","","",""
"1377","15:05:21.113250","10:8e:e0:a0:23:82","ff:ff:ff:ff:ff:ff","802.11","-95 dBm","5.000509","Probe Request","","","","Internet","1","","",""
"1378","15:05:38.459960","bc:a5:8b:3a:d7:d2","ff:ff:ff:ff:ff:ff","802.11","-71 dBm","17.346710","Probe Request","","","","","1","","",""
"1379","15:05:38.461842","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-89 dBm","0.001882","Probe Response","","","","Pince2","1","","",""
"1380","15:05:38.463712","b0:48:7a:e7:fe:3e","bc:a5:8b:3a:d7:d2","802.11","-71 dBm","0.001870","Probe Response","","","","Emikroszkop","1","","",""
"1381","15:05:38.499981","bc:a5:8b:3a:d7:d2","ff:ff:ff:ff:ff:ff","802.11","-73 dBm","0.036269","Probe Request","","","","","1","","",""
"1382","15:05:38.544300","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-91 dBm","0.044319","Probe Response","","","","Pince2","1","","",""
"1383","15:05:38.545670","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-91 dBm","0.001370","Probe Response","","","","Pince2","1","","",""
"1384","15:05:38.547082","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-91 dBm","0.001412","Probe Response","","","","Pince2","1","","",""
"1385","15:05:38.548535","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-91 dBm","0.001453","Probe Response","","","","Pince2","1","","",""
"1386","15:05:38.585275","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-91 dBm","0.036740","Probe Response","","","","Pince2","1","","",""
"1387","15:05:38.586583","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-93 dBm","0.001308","Probe Response","","","","Pince2","1","","",""
"1388","15:05:38.588014","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-89 dBm","0.001431","Probe Response","","","","Pince2","1","","",""
"1389","15:05:38.589448","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-91 dBm","0.001434","Probe Response","","","","Pince2","1","","",""
"1390","15:05:38.628899","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-87 dBm","0.039451","Probe Response","","","","Pince2","1","","",""
"1391","15:05:38.631665","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-89 dBm","0.002766","Probe Response","","","","Pince2","1","","",""
"1392","15:05:38.633084","18:a6:f7:c5:62:80","bc:a5:8b:3a:d7:d2","802.11","-91 dBm","0.001419","Probe Response","","","","Pince2","1","","",""
"1393","15:05:43.393595","88:b4:a6:c5:05:71","ff:ff:ff:ff:ff:ff","802.11","-93 dBm","4.760511","Probe Request","","","","","1","","",""
"1394","15:05:43.395486","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001891","Probe Response","","","","Pince2","1","","",""
"1395","15:05:43.402665","88:b4:a6:c5:05:71","ff:ff:ff:ff:ff:ff","802.11","-95 dBm","0.007179","Probe Request","","","","","1","","",""
"1396","15:05:43.404577","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001912","Probe Response","","","","Pince2","1","","",""
"1397","15:05:43.412596","88:b4:a6:c5:05:71","ff:ff:ff:ff:ff:ff","802.11","-95 dBm","0.008019","Probe Request","","","","","1","","",""
"1398","15:05:43.414409","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001813","Probe Response","","","","Pince2","1","","",""
"1399","15:05:43.464970","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-89 dBm","0.050561","Probe Response","","","","Pince2","1","","",""
"1400","15:05:43.466292","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001322","Probe Response","","","","Pince2","1","","",""
"1401","15:05:43.467686","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001394","Probe Response","","","","Pince2","1","","",""
"1402","15:05:43.469118","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001432","Probe Response","","","","Pince2","1","","",""
"1403","15:05:43.470456","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001338","Probe Response","","","","Pince2","1","","",""
"1404","15:05:43.472731","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.002275","Probe Response","","","","Pince2","1","","",""
"1405","15:05:43.474988","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.002257","Probe Response","","","","Pince2","1","","",""
"1406","15:05:43.476506","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001518","Probe Response","","","","Pince2","1","","",""
"1407","15:05:43.477861","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-89 dBm","0.001355","Probe Response","","","","Pince2","1","","",""
"1408","15:05:43.479236","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001375","Probe Response","","","","Pince2","1","","",""
"1409","15:05:43.481441","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.002205","Probe Response","","","","Pince2","1","","",""
"1410","15:05:43.482735","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001294","Probe Response","","","","Pince2","1","","",""
"1411","15:05:43.490954","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.008219","Probe Response","","","","Pince2","1","","",""
"1412","15:05:43.492337","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001383","Probe Response","","","","Pince2","1","","",""
"1413","15:05:43.495859","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.003522","Probe Response","","","","Pince2","1","","",""
"1414","15:05:43.499751","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.003892","Probe Response","","","","Pince2","1","","",""
"1415","15:05:43.501146","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.001395","Probe Response","","","","Pince2","1","","",""
"1416","15:05:43.502561","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001415","Probe Response","","","","Pince2","1","","",""
"1417","15:05:43.503858","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001297","Probe Response","","","","Pince2","1","","",""
"1418","15:05:43.507559","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.003701","Probe Response","","","","Pince2","1","","",""
"1419","15:05:43.508895","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001336","Probe Response","","","","Pince2","1","","",""
"1420","15:05:43.510268","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001373","Probe Response","","","","Pince2","1","","",""
"1421","15:05:43.511819","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001551","Probe Response","","","","Pince2","1","","",""
"1422","15:05:43.784285","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.272466","Probe Response","","","","Pince2","1","","",""
"1423","15:05:43.785649","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-93 dBm","0.001364","Probe Response","","","","Pince2","1","","",""
"1424","15:05:43.788414","18:a6:f7:c5:62:80","88:b4:a6:c5:05:71","802.11","-91 dBm","0.002765","Probe Response","","","","Pince2","1","","",""
