"No.","Time","Source","Destination","Protocol","Signal","Delta time","Information","Source manufacturer","Source model","Source type","Wlan SSID","Data rate Mbit/sec","Device name","Device type"
"41","20:45:47.163930","02:37:2a:ad:4e:94","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.171538","Probe Request","","","","","1","",""
"42","20:45:47.201792","02:37:2a:ad:4e:94","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","0.037862","Probe Request","","","","","1","",""
"43","20:45:47.205245","00:26:0a:ec:cb:a0","02:37:2a:ad:4e:94","802.11","-87 dBm","0.003453","Probe Response","","","","Internet","1","",""
"44","20:45:47.656949","00:17:5a:10:27:90","88:b4:a6:78:72:26","802.11","-89 dBm","0.451704","Probe Response","","","","Internet","1","",""
"45","20:45:49.720091","da:a1:19:8a:95:09","ff:ff:ff:ff:ff:ff","802.11","-69 dBm","2.063142","Probe Request","","","","Internet","1","",""
"46","20:45:49.721037","da:a1:19:8a:95:09","ff:ff:ff:ff:ff:ff","802.11","-69 dBm","0.000946","Probe Request","","","","","1","",""
"47","20:45:49.744039","da:a1:19:8a:95:09","ff:ff:ff:ff:ff:ff","802.11","-69 dBm","0.023002","Probe Request","","","","Internet","1","",""
"48","20:45:49.744963","da:a1:19:8a:95:09","ff:ff:ff:ff:ff:ff","802.11","-69 dBm","0.000924","Probe Request","","","","","1","",""
"49","20:45:50.359829","08:ee:8b:6c:0e:6f","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.614866","Probe Request","","","","Internet","1","",""
"50","20:45:50.380201","08:ee:8b:6c:0e:6f","ff:ff:ff:ff:ff:ff","802.11","-83 dBm","0.020372","Probe Request","","","","Internet","1","",""
"51","20:45:51.465690","64:5a:04:97:2d:ba","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","1.085489","Probe Request","","","","Internet","1","",""
"52","20:45:51.467231","00:26:0a:ec:cb:a0","64:5a:04:97:2d:ba","802.11","-87 dBm","0.001541","Probe Response","","","","Internet","1","",""
"53","20:45:53.048842","da:a1:19:07:98:09","ff:ff:ff:ff:ff:ff","802.11","-73 dBm","1.581611","Probe Request","","","","","1","",""
"54","20:45:53.068853","da:a1:19:07:98:09","ff:ff:ff:ff:ff:ff","802.11","-69 dBm","0.020011","Probe Request","","","","","1","",""
"55","20:45:53.796681","8c:3a:e3:5d:71:8e","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","0.727828","Probe Request","","","","Internet","1","",""
"56","20:45:53.807042","8c:3a:e3:5d:71:8e","ff:ff:ff:ff:ff:ff","802.11","-77 dBm","0.010361","Probe Request","","","","Internet","1","",""
"57","20:45:54.269619","40:4e:36:89:89:68","ff:ff:ff:ff:ff:ff","802.11","-73 dBm","0.462577","Probe Request","","","","","1","",""
"58","20:45:55.245036","8c:3a:e3:5d:71:8e","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","0.975417","Probe Request","","","","Internet","1","",""
"59","20:45:55.246589","00:26:0a:ec:cb:a0","8c:3a:e3:5d:71:8e","802.11","-87 dBm","0.001553","Probe Response","","","","Internet","1","",""
"60","20:45:56.645063","00:26:0a:ec:cb:a0","da:a1:19:5f:e3:c2","802.11","-89 dBm","1.398474","Probe Response","","","","Internet","1","",""
"61","20:45:56.675336","00:26:0a:ec:cb:a0","da:a1:19:5f:e3:c2","802.11","-87 dBm","0.030273","Probe Response","","","","Internet","1","",""
"62","20:45:56.706482","da:a1:19:5f:e3:c2","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.031146","Probe Request","","","","","1","",""
"63","20:45:56.736614","da:a1:19:5f:e3:c2","ff:ff:ff:ff:ff:ff","802.11","-89 dBm","0.030132","Probe Request","","","","","1","",""
"64","20:45:58.087546","8c:3a:e3:5d:71:8e","ff:ff:ff:ff:ff:ff","802.11","-79 dBm","1.350932","Probe Request","","","","Internet","1","",""
"65","20:45:58.214493","80:a5:89:62:54:95","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","0.126947","Probe Request","","","","Internet","1","",""
"66","20:45:58.236082","80:a5:89:62:54:95","ff:ff:ff:ff:ff:ff","802.11","-85 dBm","0.021589","Probe Request","","","","Internet","1","",""
"67","20:45:58.242927","04:56:04:bd:cb:fe","ff:ff:ff:ff:ff:ff","802.11","-87 dBm","0.006845","Probe Request","ALLVIEW","P9_Energy_mini","Telephone","","1","P9_Energy_mini","Smartphone - dual mode"
"68","20:45:58.244512","00:26:0a:ec:cb:a0","04:56:04:bd:cb:fe","802.11","-89 dBm","0.001585","Probe Response","","","","Internet","1","",""
