activity_ID,mac_address,vendor,first_Try,second_try,third_try,dist_1,dist_2,dist_3,LAT,LON,
2,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,6.8218941728741545E-9,46.52289072938617,24.598691171727744,
3,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
4,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
5,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
6,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,6.8218941728741545E-9,46.52289072938617,24.598691171727744,
7,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
8,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,6.8218941728741545E-9,46.52289072938617,24.598691171727744,
9,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
10,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
11,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
12,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,6.8218941728741545E-9,46.52289072938617,24.598691171727744,
13,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
14,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
15,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
16,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
17,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
18,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
19,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
20,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
21,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
22,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
23,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
24,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
25,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
26,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
27,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
28,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
29,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
30,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
31,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
32,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
33,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52289072938617,24.598691171727744,
34,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gc,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52289072938617,24.598691171727744,
35,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
36,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
37,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52291695384231,24.598656738170092,
38,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52291695384231,24.598656738170092,
39,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52291695384231,24.598656738170092,
40,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52291695384231,24.598656738170092,
41,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52291695384231,24.598656738170092,
42,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,2.1007760302633236E-9,46.52291695384231,24.598656738170092,
43,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
44,04:56:04:bd:cb:fe,Gionee Communication Equipment Co, Ltd,Internet,Internet5Ga,Internet5Gb,2.1007760302633236E-9,2.1007760302633236E-9,5.526628645526842E-10,46.52291695384231,24.598656738170092,
