activity_ID,mac_address      ,vendor                                ,first_Try,second_try ,third_try  ,dist_1               ,dist_2                ,dist_3                ,LAT                   ,LON               ,
2          ,da:a1:19:18:0a:54,Google                                ,Inc      ,Internet   ,Internet5Ga,Internet5Gb          ,2.1007760302633236E-9 ,2.051539092054027E-12 ,5.526628645526842E-10 ,46.52289339234296 ,24.598626431725798,
3          ,da:a1:19:18:0a:54,Google                                ,Inc      ,Internet   ,Internet5Ga,Internet5Gb          ,2.1007760302633236E-9 ,2.051539092054027E-12 ,5.526628645526842E-10 ,46.52289339234296 ,24.598626431725798,
4          ,da:a1:19:18:0a:54,Google                                ,Inc      ,Internet   ,Internet5Ga,Internet5Gb          ,2.1007760302633236E-9 ,2.051539092054027E-12 ,5.526628645526842E-10 ,46.52289339234296 ,24.598626431725798,
5          ,da:a1:19:04:b6:df,Google                                ,Inc      ,Internet   ,Internet5Ga,Internet5Gb          ,2.1007760302633236E-9 ,1.1830208188154132E-10,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
6          ,da:a1:19:04:b6:df,Google                                ,Inc      ,Internet   ,Internet5Ga,Internet5Gb          ,2.1007760302633236E-9 ,1.1830208188154132E-10,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
7          ,da:a1:19:20:69:04,Google                                ,Inc      ,Internet   ,Internet5G ,Internet5Gb          ,6.8218941728741545E-9 ,2.1007760302633236E-9 ,2.1007760302633236E-9 ,46.53714638074489 ,24.599691300668518,
8          ,da:a1:19:20:69:04,Google                                ,Inc      ,Internet   ,Internet5G ,Internet5Gb          ,6.8218941728741545E-9 ,2.1007760302633236E-9 ,2.1007760302633236E-9 ,46.53714638074489 ,24.599691300668518,
9          ,da:a1:19:20:69:04,Google                                ,Inc      ,Internet   ,Internet5G ,Internet5Gb          ,6.8218941728741545E-9 ,2.1007760302633236E-9 ,2.1007760302633236E-9 ,46.53714638074489 ,24.599691300668518,
10         ,da:a1:19:20:69:04,Google                                ,Inc      ,Internet   ,Internet5G ,Internet5Gb          ,6.8218941728741545E-9 ,2.1007760302633236E-9 ,2.1007760302633236E-9 ,46.53714638074489 ,24.599691300668518,
11         ,da:a1:19:20:69:04,Google                                ,Inc      ,Internet   ,Internet5G ,Internet5Gb          ,6.8218941728741545E-9 ,2.1007760302633236E-9 ,2.1007760302633236E-9 ,46.53714638074489 ,24.599691300668518,
12         ,da:a1:19:bc:43:d2,Google                                ,Inc      ,Internet   ,Internet5Ga,Internet5Gb          ,6.8218941728741545E-9 ,1.1830208188154132E-10,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
13         ,da:a1:19:bc:43:d2,Google                                ,Inc      ,Internet   ,Internet5Ga,Internet5Gb          ,6.8218941728741545E-9 ,1.1830208188154132E-10,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
14         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,1.1830208188154132E-10,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
15         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,1.1830208188154132E-10,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
16         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,1.1830208188154132E-10,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
17         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,1.1830208188154132E-10,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
18         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,1.1830208188154132E-10,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
19         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,1.1830208188154132E-10,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
20         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,1.1830208188154132E-10,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
21         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,1.1830208188154132E-10,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
22         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,2.1007760302633236E-9 ,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
23         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,2.1007760302633236E-9 ,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
24         ,84:b5:41:f2:c4:02,Samsung Electronics Co                ,Ltd      ,Internet   ,Internet5Ga,Internet5Gb          ,2.1007760302633236E-9 ,2.051539092054027E-12 ,2.1007760302633236E-9 ,46.52289339234296 ,24.598626431725798,
