mac_address,vendor,time,LAT,LON,
da:a1:19:66:fc:2e,Google, Inc,1551167799000,46.491394799713746,24.592554899215102,
da:a1:19:7a:bf:66,Google, Inc,1551166272000,46.523024,24.598556,
da:a1:19:42:99:f9,Google, Inc,1551165387000,46.523024,24.598556,
da:a1:19:da:60:a1,Google, Inc,1551167956000,46.47086764793286,24.607530587833327,
da:a1:19:72:67:47,Google, Inc,1551168363000,46.523024,24.598556,
da:a1:19:fe:91:a3,Google, Inc,1551168406000,46.523024,24.598556,
da:a1:19:6b:07:92,Google, Inc,1551168334000,46.522743,24.598609,
da:a1:19:27:1c:5f,Google, Inc,1551165749000,46.52103113347531,24.599001893875588,
da:a1:19:ac:a8:87,Google, Inc,1551167364000,46.43960773653476,24.614690624017115,
da:a1:19:69:27:5e,Google, Inc,1551168078000,46.522743,24.598609,
da:a1:19:1e:57:12,Google, Inc,1551168374000,46.523024,24.598556,
02:18:01:16:9e:f8,,1551167332000,46.523024,24.598556,
58:b1:0f:7b:89:a3,Samsung Electronics Co, Ltd,1551167036000,46.522929,24.598748,
da:a1:19:1f:71:56,Google, Inc,1551168347000,46.523024,24.598556,
da:a1:19:b7:47:5d,Google, Inc,1551165022000,46.523024,24.598556,
58:b1:0f:ac:cc:be,Samsung Electronics Co, Ltd,1551167853000,46.523024,24.598556,
da:a1:19:1e:a6:63,Google, Inc,1551165795000,46.523024,24.598556,
58:b1:0f:74:ee:83,Samsung Electronics Co, Ltd,1551166920000,46.522929,24.598748,
da:a1:19:f0:2a:8e,Google, Inc,1551167520000,46.523024,24.598556,
da:a1:19:69:3a:25,Google, Inc,1551167275000,46.523024,24.598556,
da:a1:19:6e:6e:d1,Google, Inc,1551168260000,46.523024,24.598556,
da:a1:19:6c:d5:09,Google, Inc,1551168326000,46.522743,24.598609,
da:a1:19:c5:2c:94,Google, Inc,1551168345000,46.522743,24.598609,
da:a1:19:52:fe:d2,Google, Inc,1551168000000,46.523024,24.598556,
56:d0:88:13:df:f4,,1551161758000,46.522929,24.598748,
da:a1:19:d7:d4:f3,Google, Inc,1551168408000,46.523024,24.598556,
58:b1:0f:82:7f:98,Samsung Electronics Co, Ltd,1551167148000,46.522929,24.598748,
da:a1:19:eb:1c:97,Google, Inc,1551162920000,46.523024,24.598556,
da:a1:19:77:f4:22,Google, Inc,1551166099000,46.523024,24.598556,
da:a1:19:3e:04:35,Google, Inc,1551168339000,46.522743,24.598609,
da:a1:19:91:2b:2e,Google, Inc,1551162895000,46.523024,24.598556,
da:a1:19:5e:f0:93,Google, Inc,1551161837000,46.522743,24.598609,
da:a1:19:a3:fb:98,Google, Inc,1551163679000,46.523024,24.598556,
00:87:01:d7:14:94,Samsung Electronics Co, Ltd,1551168316000,46.522743,24.598609,
da:a1:19:b1:26:15,Google, Inc,1551168376000,46.523024,24.598556,
da:a1:19:16:86:5c,Google, Inc,1551162824000,46.477988324707084,24.607273253535798,
da:a1:19:79:ea:03,Google, Inc,1551168410000,46.522743,24.598609,
da:a1:19:bd:08:89,Google, Inc,1551163448000,46.523024,24.598556,
da:a1:19:0a:33:26,Google, Inc,1551164788000,46.523024,24.598556,
da:a1:19:39:95:b0,Google, Inc,1551164051000,46.523024,24.598556,
da:a1:19:f5:0c:81,Google, Inc,1551167327000,46.523024,24.598556,
da:a1:19:c2:ab:c6,Google, Inc,1551167982000,46.47795381419166,24.607069917713275,
da:a1:19:a2:ed:75,Google, Inc,1551168350000,46.522743,24.598609,
da:a1:19:fe:58:34,Google, Inc,1551166058000,46.39197499870947,24.62247506863124,
68:e7:c2:22:d2:86,Samsung Electronics Co, Ltd,1551168325000,46.348047805605034,24.631320416424327,
da:a1:19:07:d7:fa,Google, Inc,1551167992000,46.523024,24.598556,
da:a1:19:02:bc:c2,Google, Inc,1551167800000,46.523024,24.598556,
2a:fc:71:1d:0c:68,,1551163598000,46.52299233333333,24.59862,
da:a1:19:ce:35:f4,Google, Inc,1551167332000,46.523024,24.598556,
da:a1:19:62:0e:6c,Google, Inc,1551168370000,46.523024,24.598556,
da:a1:19:be:7e:7b,Google, Inc,1551163665000,46.522743,24.598609,
58:b1:0f:74:3a:1c,Samsung Electronics Co, Ltd,1551166918000,46.522929,24.598748,
58:b1:0f:7f:14:ad,Samsung Electronics Co, Ltd,1551167099000,46.522929,24.598748,
da:a1:19:b0:91:a9,Google, Inc,1551166180000,46.523024,24.598556,
da:a1:19:20:b1:15,Google, Inc,1551168406000,46.32036004790017,24.636576247870536,
da:a1:19:fe:bd:a5,Google, Inc,1551165818000,46.523024,24.598556,
da:a1:19:fa:87:5a,Google, Inc,1551168271000,46.522743,24.598609,
da:a1:19:0c:3b:35,Google, Inc,1551164841000,46.522929,24.598748,
da:a1:19:5d:73:ab,Google, Inc,1551163680000,46.47086770163478,24.607530563125135,
da:a1:19:ab:98:e8,Google, Inc,1551163537000,46.523024,24.598556,
da:a1:19:5e:a4:b7,Google, Inc,1551168361000,46.523024,24.598556,
da:a1:19:bf:2b:c0,Google, Inc,1551163744000,46.523024,24.598556,
58:b1:0f:ca:4f:f6,Samsung Electronics Co, Ltd,1551168364000,46.522929,24.598748,
da:a1:19:6f:87:02,Google, Inc,1551161748000,46.523024,24.598556,
58:b1:0f:ae:38:e9,Samsung Electronics Co, Ltd,1551167884000,46.522929,24.598748,
da:a1:19:86:8a:b8,Google, Inc,1551166201000,46.523024,24.598556,
da:a1:19:8b:b4:fe,Google, Inc,1551168226000,46.523024,24.598556,
da:a1:19:a3:46:b4,Google, Inc,1551167023000,46.439537162620304,24.583351729404708,
da:a1:19:82:58:41,Google, Inc,1551167886000,46.522929,24.598748,
da:a1:19:fd:78:8a,Google, Inc,1551168309000,46.522743,24.598609,
da:a1:19:f1:39:70,Google, Inc,1551165720000,46.523024,24.598556,
58:b1:0f:74:96:fb,Samsung Electronics Co, Ltd,1551166914000,46.522929,24.598748,
da:a1:19:10:4a:db,Google, Inc,1551167850000,46.523024,24.598556,
da:a1:19:b4:9d:c4,Google, Inc,1551167877000,46.523024,24.598556,
da:a1:19:75:8f:96,Google, Inc,1551168346000,46.32185784844764,24.637015670408054,
da:a1:19:09:76:91,Google, Inc,1551168229000,46.522743,24.598609,
58:b1:0f:8a:bf:9d,Samsung Electronics Co, Ltd,1551167295000,46.522929,24.598748,
da:a1:19:4a:4a:55,Google, Inc,1551168298000,46.523024,24.598556,
da:a1:19:88:2c:d2,Google, Inc,1551164164000,46.523024,24.598556,
da:a1:19:31:18:68,Google, Inc,1551165709000,46.4708677016367,24.6075305631203,
da:a1:19:e8:f0:45,Google, Inc,1551167882000,46.523024,24.598556,
da:a1:19:da:5a:90,Google, Inc,1551165576000,46.523024,24.598556,
da:a1:19:7d:79:0c,Google, Inc,1551163421000,46.522743,24.598609,
58:b1:0f:8b:ef:df,Samsung Electronics Co, Ltd,1551167300000,46.522929,24.598748,
